Station ID,Station Name,Town,Region,Country,Building Condition,Service Status,Service Status Year,Lat,Lon,Station Notes,Stop Sequence,Line ID,Line Name,Year Opened,Gauge,Line Status,Line Status Year,Line Notes,Is in NP-M
589,Liiva,Tallinn,Harju maakond,Estonia,Active,Operational,2024,59.388033,24.722934,,1,39,Liiva—Vääna,1913,750 mm,Dismantled,1971,,FALSE
590,Rahumäe,Tallinn,Harju maakond,Estonia,Ruined/Disused,Closed,1971,59.390935,24.694942,,2,39,Liiva—Vääna,1913,750 mm,Dismantled,1971,,FALSE
591,Nõmme turg,Tallinn,Harju maakond,Estonia,Dismantled/Not built,Closed,1971,59.38944,24.684082,Part of market parking,3,39,Liiva—Vääna,1913,750 mm,Dismantled,1971,,FALSE
592,Nõmme-Väike,Tallinn,Harju maakond,Estonia,Residential,Closed,1971,59.3832,24.6587,Also known as Nõmme-Kindluse,4,39,Liiva—Vääna,1913,750 mm,Dismantled,1971,,FALSE
593,Mustamäe,Tallinn,Harju maakond,Estonia,Dismantled/Not built,Closed,1959,59.38415,24.64079,Approximate location,5,39,Liiva—Vääna,1913,750 mm,Dismantled,1971,,FALSE
594,Harku,Laabi,Harju maakond,Estonia,Residential,Closed,1959,59.398679,24.580682,,6,39,Liiva—Vääna,1913,750 mm,Dismantled,1971,,FALSE
595,Rannamõisa,Vatsla,Harju maakond,Estonia,Dismantled/Not built,Closed,1959,59.407964,24.545563,Approximate location,7,39,Liiva—Vääna,1913,750 mm,Dismantled,1971,,FALSE
596,Sõrve,Sõrve,Harju maakond,Estonia,Residential,Closed,1959,59.419694,24.468639,,8,39,Liiva—Vääna,1913,750 mm,Dismantled,1971,,FALSE
597,Vatsla,Sõrve,Harju maakond,Estonia,Dismantled/Not built,Closed,1959,59.40876,24.4715,Approximate location,9,39,Liiva—Vääna,1913,750 mm,Dismantled,1971,,FALSE
598,Vääna,Vääna,Harju maakond,Estonia,Residential,Closed,1959,59.397018,24.414266,,10,39,Liiva—Vääna,1913,750 mm,Dismantled,1971,,FALSE
600,Ülenurme,Ülenurme,Tartu maakond,Estonia,Residential,Operational,2024,58.323508,26.717806,Station moved ~1.5 km South,0,109,Tapa—Tartu—Koidula,1876,1520 mm,Operational,2011,Southern section rebuilt,FALSE
601,Laane,Logina,Põlva maakond,Estonia,Ruined/Disused,Closed,2001,58.202977,26.877288,,0,109,Tapa—Tartu—Koidula,1876,1520 mm,Operational,2011,Southern section rebuilt,FALSE
602,Kliima,Kliima,Võru maakond,Estonia,Dismantled/Not built,Closed,1990,57.867625,27.517654,On the dismantled section of the line,0,109,Tapa—Tartu—Koidula,1876,1520 mm,Operational,2011,Southern section rebuilt,FALSE
603,Piiroja,Kolodavitsa,Võru maakond,Estonia,Dismantled/Not built,Closed,1990,57.842713,27.557978,On the dismantled section of the line,0,109,Tapa—Tartu—Koidula,1876,1520 mm,Operational,2011,Southern section rebuilt,FALSE
604,Söödi,Painküla,Jõgeva maakond,Estonia,Residential,Closed,1950,58.719915,26.421056,,0,109,Tapa—Tartu—Koidula,1876,1520 mm,Operational,2011,Southern section rebuilt,FALSE
605,Kalevi,Kassinurme,Jõgeva maakond,Estonia,Dismantled/Not built,Closed,2001,58.690769,26.460633,,0,109,Tapa—Tartu—Koidula,1876,1520 mm,Operational,2011,Southern section rebuilt,FALSE
606,Nava,Nava,Jõgeva maakond,Estonia,Dismantled/Not built,Closed,2001,58.631252,26.564158,,0,109,Tapa—Tartu—Koidula,1876,1520 mm,Operational,2011,Southern section rebuilt,FALSE
607,Mullavere,Mullavere,Jõgeva maakond,Estonia,Dismantled/Not built,Closed,2001,58.598493,26.570348,,0,109,Tapa—Tartu—Koidula,1876,1520 mm,Operational,2011,Southern section rebuilt,FALSE
608,Sootaga,Kastli,Tartu maakond,Estonia,Dismantled/Not built,Closed,2001,58.501739,26.651732,,0,109,Tapa—Tartu—Koidula,1876,1520 mm,Operational,2011,Southern section rebuilt,FALSE
609,Vasula,Maramaa,Tartu maakond,Estonia,Dismantled/Not built,Closed,2001,58.449264,26.660881,,0,109,Tapa—Tartu—Koidula,1876,1520 mm,Operational,2011,Southern section rebuilt,FALSE
610,Emajõe,Vorbuse,Tartu maakond,Estonia,Dismantled/Not built,Closed,2001,58.434042,26.656178,Old bridge remains nearby,0,109,Tapa—Tartu—Koidula,1876,1520 mm,Operational,2011,Southern section rebuilt,FALSE
611,Vorbuse,Vorbuse,Tartu maakond,Estonia,Dismantled/Not built,Closed,2001,58.421461,26.661181,,0,109,Tapa—Tartu—Koidula,1876,1520 mm,Operational,2011,Southern section rebuilt,FALSE
612,Tiksoja,Tähtvere,Tartu maakond,Estonia,Dismantled/Not built,Closed,1943,58.405663,26.673408,,0,109,Tapa—Tartu—Koidula,1876,1520 mm,Operational,2011,Southern section rebuilt,FALSE
613,Nõmmküla,Nõmmküla,Lääne-Viru maakond,Estonia,"Preserved, uncertain",Closed,2001,59.202995,26.046255,,0,109,Tapa—Tartu—Koidula,1876,1520 mm,Operational,2011,Southern section rebuilt,FALSE
614,Türi,Türi,Järva maakond,Estonia,Active,Operational,2024,58.80476,25.424001,,1,40,Türi—Paide—Tamsalu,1900,750 mm,Dismantled,1972,Extension to Tamsalu built 1915,FALSE
615,Kirna,Kirna,Järva maakond,Estonia,Dismantled/Not built,Closed,1972,58.851601,25.470354,,2,40,Türi—Paide—Tamsalu,1900,750 mm,Dismantled,1972,Extension to Tamsalu built 1915,FALSE
616,Paide,Paide,Järva maakond,Estonia,Non-railway use,Closed,1972,58.884406,25.555528,Bus station,3,40,Türi—Paide—Tamsalu,1900,750 mm,Dismantled,1972,Extension to Tamsalu built 1915,FALSE
